Condition	Voltage	Current	Temperature
normal	8.396051708850752	457.0064634796081	2.236259756327417
normal	9.387919643143436	454.27506945685	3.4709076408871304
normal	10.042234286737482	452.6198511135537	11.559982008571911
normal	11.632445384621212	454.53855861448943	12.597135789068535
normal	9.450850410597383	452.4795205216284	5.837631181130465
failed	32.283694678257945	4522.2187819167575	54.80419508893688
failed	29.790421215200247	4532.282622060053	63.563190074753216
failed	27.835195947181823	4538.483198258047	60.70261913829479
failed	29.439518779337234	4539.856774887688	59.37684643050057
failed	30.108316603303603	4526.306558109335	51.83864152942497
