Condition	Voltage	Current	Temperature
normal	10.595364927246862	452.01159665991247	4.878218922728475
normal	11.157273524267753	451.2495440390444	4.9896426570337375
normal	10.093952224658656	452.5898908339458	7.298256576770734
normal	9.624621939037457	451.8797648348501	1.434294229268641
normal	8.423003401935512	453.6978385995773	1.8111599722004907
failed	24.179241162244935	4530.196202786447	66.4462841891917
failed	29.21132028423504	4521.184392790962	60.75862426270614
failed	26.848728506759898	4526.737007612092	61.36690023661684
failed	29.820493396925063	4534.193103409779	56.02709807108123
failed	30.54159596334195	4529.694141454251	61.43381138107124
